symbol,token
GOLDIAM-EQ,11971
HATHWAY-EQ,18154
GRASIM-EQ,1232
TCS-EQ,11536
BSLGOLDETF-EQ,23804
NRAIL-EQ,20314
TIRUMALCHM-EQ,3496
BEL-EQ,383
ELIN-EQ,13423
ORIENTCEM-EQ,30089
YUKEN-EQ,5501
LICNETFGSC-EQ,6062
GUJAPOLLO-EQ,14677
TRENT-EQ,1964
CARBORUNIV-EQ,595
GICRE-EQ,277
ALMONDZ-EQ,16719
INDIGO-EQ,11195
TTL-EQ,14314
PAYTM-EQ,6705
CENTURYPLY-EQ,13305
KARURVYSYA-EQ,1838
ASTRAL-EQ,14418
SHAREINDIA-EQ,104
KABRAEXTRU-EQ,1805
KIRLOSIND-EQ,19025
DHARMAJ-EQ,13001
MINDACORP-EQ,25897
RAYMOND-EQ,2859
NEOGEN-EQ,9917
AARTIIND-EQ,7
ASTRON-EQ,874
NDRAUTO-EQ,22255
RVHL-EQ,1565
KHAICHEM-EQ,896
ADANIENT-EQ,25
NELCO-EQ,2388
FLEXITUFF-EQ,25512
GABRIEL-EQ,1085
OSWALSEEDS-EQ,14305
APOLLOTYRE-EQ,163
CENTRUM-EQ,2454
RAMCOCEM-EQ,2043
VISHWARAJ-EQ,13702
COROMANDEL-EQ,739
BORORENEW-EQ,3149
BLS-EQ,17279
COMPINFO-EQ,17632
IPL-EQ,4934
HDFCMID150-EQ,14236
DALMIASUG-EQ,781
SHALPAINTS-EQ,15342
UTISXN50-EQ,9168
CROMPTON-EQ,17094
WEL-EQ,7835
MAHAPEXLTD-EQ,5239
MOTOGENFIN-EQ,2268
BRNL-EQ,21683
SUNDRMBRAK-EQ,4179
ICICICOMMO-EQ,13198
GALAXYSURF-EQ,1315
EBBETF0430-EQ,16253
DBOL-EQ,10893
RPPL-EQ,6913
GOLDBEES-EQ,14428
PFS-EQ,22602
WEWIN-EQ,9862
SMCGLOBAL-EQ,2320
RECLTD-EQ,15355
ICICI500-EQ,3001
ARIHANTSUP-EQ,20159
SHIVALIK-EQ,7016
AARVEEDEN-EQ,13771
DPWIRES-EQ,16900
GARFIBRES-EQ,1100
ATFL-EQ,1663
KOTAKNIFTY-EQ,18102
SBILIFE-EQ,21808
DMART-EQ,19913
AJMERA-EQ,17307
VISAKAIND-EQ,4221
ORIENTABRA-EQ,13111
NH-EQ,11840
MSTCLTD-EQ,9356
RUSHIL-EQ,24595
PGHH-EQ,2535
141NSETEST-EQ,14781
SUNCLAYLTD-EQ,29008
MMFL-EQ,13844
JKCEMENT-EQ,13270
SALZERELEC-EQ,11399
DSPSILVETF-EQ,10761
SURANASOL-EQ,21077
LAGNAM-EQ,5865
SHK-EQ,11212
DWARKESH-EQ,11667
SOLARA-EQ,3672
HEUBACHIND-EQ,715
GREENPOWER-EQ,20110
PCBL-EQ,2649
CONCOR-EQ,4749
MHRIL-EQ,17333
BOSCHLTD-EQ,2181
SUBEXLTD-EQ,967
THYROCARE-EQ,17032
GPPL-EQ,19731
MARICO-EQ,4067
BANARBEADS-EQ,347
HARDWYN-EQ,8962
LGBBROSLTD-EQ,18321
AGROPHOS-EQ,9046
KAMOPAINTS-EQ,13814
SEAMECLTD-EQ,2616
FCSSOFT-EQ,11999
SONAMCLOCK-EQ,8806
LOKESHMACH-EQ,13436
HECPROJECT-EQ,7425
HDFCLIFE-EQ,467
BALKRISHNA-EQ,10181
MAESGETF-EQ,1200
CHEVIOT-EQ,9879
TNIDETF-EQ,8882
ARTEMISMED-EQ,16913
STAR-EQ,7374
SKIPPER-EQ,9428
SUDARSCHEM-EQ,3327
INDSWFTLTD-EQ,11602
DHRUV-EQ,6858
AKSHARCHEM-EQ,20178
JOCIL-EQ,16927
LUMAXTECH-EQ,14014
IRCTC-EQ,13611
SUVENPHAR-EQ,17945
EASEMYTRIP-EQ,2792
PNBGILTS-EQ,8736
UNIENTER-EQ,11293
EXXARO-EQ,5352
LEXUS-EQ,14459
KAYNES-EQ,12092
GRAVITA-EQ,20534
NIFTYBEES-EQ,10576
TARMAT-EQ,14771
COFFEEDAY-EQ,11165
HDFC-EQ,1330
N1NSETEST-EQ,12848
ROHLTD-EQ,13182
SHRIRAMFIN-EQ,4306
ORIENTLTD-EQ,18208
BLUESTARCO-EQ,8311
TATASTEEL-EQ,3499
BIRLACORPN-EQ,480
SVLL-EQ,15121
MOLDTKPAC-EQ,6713
OFSS-EQ,10738
WOCKPHARMA-EQ,7506
MARATHON-EQ,18659
MARKSANS-EQ,10579
ICICIFIN-EQ,12578
DEEPAKFERT-EQ,827
TEAMLEASE-EQ,12716
PASUPTAC-EQ,6045
GRAPHITE-EQ,592
NETF-EQ,7838
CEATLTD-EQ,15254
SOFTTECH-EQ,8266
TATAMTRDVR-EQ,16965
SANGHIIND-EQ,2997
MAHSCOOTER-EQ,2085
TIIL-EQ,14223
CHAMBLFERT-EQ,637
MCLEODRUSS-EQ,11943
BOMDYEING-EQ,513
HIKAL-EQ,9668
DRCSYSTEMS-EQ,2645
NDL-EQ,31258
KEYFINSERV-EQ,4157
RATNAMANI-EQ,13451
FSL-EQ,14304
KIRLOSBROS-EQ,18581
SILVERTUC-EQ,9422
TPLPLASTEH-EQ,9219
HDFCPVTBAN-EQ,12108
HDFCNIF100-EQ,10633
161NSETEST-EQ,14784
INDOBORAX-EQ,8614
BAYERCROP-EQ,17927
OMINFRAL-EQ,24231
SHYAMTEL-EQ,13740
HEXATRADEX-EQ,27008
FOODSIN-EQ,6673
AARTIPHARM-EQ,13868
MOKSH-EQ,3586
ABSLNN50ET-EQ,7339
KOTAKNV20-EQ,11457
MAFANG-EQ,3507
PARADEEP-EQ,9741
SREEL-EQ,31837
ARCHIDPLY-EQ,16795
RAJSREESUG-EQ,2809
SHALBY-EQ,714
SARVESHWAR-EQ,12913
GENUSPAPER-EQ,6600
IDBIGOLD-EQ,25640
PALREDTEC-EQ,17062
SIMPLEXINF-EQ,3162
INDOWIND-EQ,14952
DONEAR-EQ,13839
SRPL-EQ,140
FINEORG-EQ,3744
ARROWGREEN-EQ,9260
BIOCON-EQ,11373
HEADSUP-EQ,19205
MRO-TEK-EQ,8998
KDDL-EQ,14908
ALKEM-EQ,11703
PAISALO-EQ,25468
WELSPUNIND-EQ,11253
ECLERX-EQ,15179
DSPN50ETF-EQ,7451
ISMTLTD-EQ,14932
AIROLAM-EQ,6068
GRINFRA-EQ,5054
HDFCLOWVOL-EQ,11547
EBBETF0425-EQ,22243
MONQ50-EQ,7422
ELDEHSG-EQ,8953
ARMANFIN-EQ,17263
TRACXN-EQ,11582
AHLEAST-EQ,19438
KRISHANA-EQ,12847
NUCLEUS-EQ,10791
SAKAR-EQ,9539
RSYSTEMS-EQ,13414
PLASTIBLEN-EQ,13920
RUBYMILLS-EQ,2939
IDEA-EQ,14366
GAEL-EQ,8828
ICICILOVOL-EQ,21254
MANINDS-EQ,11884
HMVL-EQ,19211
DELTACORP-EQ,15044
OIL-EQ,17438
SUNDARMHLD-EQ,2183
JINDWORLD-EQ,20642
DCMSRIND-EQ,7325
ROML-EQ,359
NSLNISP-EQ,14180
ICRA-EQ,14523
RPOWER-EQ,15259
METROBRAND-EQ,7242
HDFCVALUE-EQ,11260
SCPL-EQ,12072
AKZOINDIA-EQ,1467
NKIND-EQ,2439
CGCL-EQ,20329
SESHAPAPER-EQ,3066
GOLDTECH-EQ,9874
BIL-EQ,7848
ZODIAC-EQ,7129
SUNDARMFIN-EQ,3339
KFINTECH-EQ,13359
BALRAMCHIN-EQ,341
JINDALSAW-EQ,3024
SHIVAMAUTO-EQ,13756
GMMPFAUDLR-EQ,1570
DELHIVERY-EQ,9599
NAHARSPING-EQ,14440
SADHNANIQ-EQ,15343
CORALFINAC-EQ,4007
TWL-EQ,15414
DYCL-EQ,10417
UJJIVANSFB-EQ,15228
RELAXO-EQ,24225
MRPL-EQ,2283
DPABHUSHAN-EQ,936
SOLARINDS-EQ,13332
DSPQ50ETF-EQ,7456
APCOTEXIND-EQ,154
JUBLFOOD-EQ,18096
BARBEQUE-EQ,3127
HTMEDIA-EQ,11979
CGPOWER-EQ,760
ARVIND-EQ,193
SUNDRMFAST-EQ,3345
BIRLAMONEY-EQ,15239
SDL24BEES-EQ,1143
BHAGERIA-EQ,13400
ALEMBICLTD-EQ,79
IDFC-EQ,11957
AGI-EQ,1412
JTLIND-EQ,7287
LAURUSLABS-EQ,19234
NHPC-EQ,17400
ICICINIFTY-EQ,29553
DEVYANI-EQ,5373
MADHAV-EQ,15151
BAJAJFINSV-EQ,16675
TVTODAY-EQ,11275
AUSOMENT-EQ,4037
BAJAJHLDNG-EQ,305
JTEKTINDIA-EQ,3237
PAVNAIND-EQ,16192
GULFOILLUB-EQ,4391
BBTC-EQ,380
NPBET-EQ,12978
SPORTKING-EQ,10733
NESCO-EQ,15409
WINDMACHIN-EQ,24969
CLEAN-EQ,5049
UCALFUEL-EQ,3570
AXSENSEX-EQ,14742
UMESLTD-EQ,19142
PARACABLES-EQ,13951
COCHINSHIP-EQ,21508
CELEBRITY-EQ,13162
OCCL-EQ,12231
ENERGYDEV-EQ,15049
HEALTHY-EQ,6297
IWEL-EQ,3776
KCPSUGIND-EQ,4809
ONEPOINT-EQ,9939
GFLLIMITED-EQ,1289
TCI-EQ,10580
MAFSETF-EQ,5220
JUBLINGREA-EQ,2783
ANMOL-EQ,3727
TERASOFT-EQ,19292
HEROMOTOCO-EQ,1348
EMKAY-EQ,13421
MALUPAPER-EQ,13352
YESBANK-EQ,11915
OBEROIRLTY-EQ,20242
SMLT-EQ,6843
JUSTDIAL-EQ,29962
TCPLPACK-EQ,184
HCL-INSYS-EQ,1327
GSS-EQ,15347
DAAWAT-EQ,13816
AEGISCHEM-EQ,40
MCL-EQ,22360
GATI-EQ,13688
REFEX-EQ,17764
EVEREADY-EQ,11782
LICI-EQ,9480
GLAXO-EQ,1153
SHOPERSTOP-EQ,11813
QGOLDHALF-EQ,15330
HDFCNIFETF-EQ,11591
NILASPACES-EQ,7411
RML-EQ,11975
TOKYOPLAST-EQ,3837
ACI-EQ,12024
AAVAS-EQ,5385
SETFNIF50-EQ,10176
ZYDUSWELL-EQ,17635
JBCHEPHARM-EQ,1726
BODALCHEM-EQ,25017
JWL-EQ,20224
IIFLSEC-EQ,13072
GTPL-EQ,21195
KICL-EQ,21119
SWSOLAR-EQ,12489
KOTAKLOVOL-EQ,8632
HONAUT-EQ,3417
IOLCP-EQ,20413
RADICO-EQ,10990
MOHEALTH-EQ,10508
DRREDDY-EQ,881
JAICORPLTD-EQ,5143
HOVS-EQ,13592
GILLETTE-EQ,1576
LXCHEM-EQ,2841
DPSCLTD-EQ,15419
MAPMYINDIA-EQ,7227
NAHARCAP-EQ,15360
CSLFINANCE-EQ,10350
PREMIERPOL-EQ,3908
GLS-EQ,5265
SURYODAY-EQ,2970
AXISGOLD-EQ,20532
INFOBEAN-EQ,11027
SYMPHONY-EQ,24190
MAHSEAMLES-EQ,2088
SILVER-EQ,8003
TFCILTD-EQ,3466
GREENLAM-EQ,6848
DCXINDIA-EQ,11895
3IINFOLTD-EQ,6232
ANANDRATHI-EQ,7145
SONATSOFTW-EQ,6596
NDTV-EQ,11427
SCI-EQ,3048
IOB-EQ,9348
MACPOWER-EQ,22347
KOVAI-EQ,5192
ICICINF100-EQ,30392
HITECH-EQ,2868
AHLADA-EQ,2004
JSWSTEEL-EQ,11723
PSB-EQ,21001
UJJIVAN-EQ,17069
DBSTOCKBRO-EQ,31107
ZODIACLOTH-EQ,3821
HINDMOTORS-EQ,21676
MOM100-EQ,21423
TORNTPOWER-EQ,13786
SAFARI-EQ,13035
EBBETF0433-EQ,13139
STCINDIA-EQ,10948
KOTAKMNC-EQ,10676
BALKRISIND-EQ,335
SEQUENT-EQ,14296
SUPREMEIND-EQ,3363
KANORICHEM-EQ,1835
HPL-EQ,18679
THEMISMED-EQ,14485
HEG-EQ,1336
VIKASECO-EQ,25756
MOREPENLAB-EQ,2259
PPAP-EQ,15209
ICICIBANKN-EQ,11037
MOGSEC-EQ,1507
ALOKINDS-EQ,17675
REPL-EQ,1480
CREDITACC-EQ,4421
SBIETFQLTY-EQ,7218
USK-EQ,14871
BAGFILMS-EQ,11226
NACLIND-EQ,20425
NAHARINDUS-EQ,13106
LINCOLN-EQ,11596
SKMEGGPROD-EQ,4732
APOLLOPIPE-EQ,14361
MHLXMIRU-EQ,7886
HINDCOPPER-EQ,17939
BBOX-EQ,3435
PRSMJOHNSN-EQ,2739
JPOLYINVST-EQ,31507
11NSETEST-EQ,12841
HINDALCO-EQ,1363
RBA-EQ,1494
DJML-EQ,12749
FDC-EQ,4898
GRINDWELL-EQ,13560
GOKULAGRO-EQ,14480
NATCOPHARM-EQ,3918
AUBANK-EQ,21238
HDFCMOMENT-EQ,11538
VLSFINANCE-EQ,3715
PRAKASHSTL-EQ,19599
APCL-EQ,20453
VADILALIND-EQ,24196
JBMA-EQ,11655
SILVERBEES-EQ,8080
GEPIL-EQ,7862
TATACHEM-EQ,3405
SBIETFIT-EQ,740
21STCENMGM-EQ,4
JSWENERGY-EQ,17869
SYNCOMF-EQ,11992
LUXIND-EQ,11301
INDIANB-EQ,14309
BANKA-EQ,822
PTL-EQ,14101
HDFCGROWTH-EQ,11241
UMANGDAIRY-EQ,11387
RHL-EQ,15157
BAJFINANCE-EQ,317
ASHIMASYN-EQ,206
GMBREW-EQ,1168
NIRAJ-EQ,255
ATGL-EQ,6066
NIF100BEES-EQ,29577
AROGRANITE-EQ,14557
NAUKRI-EQ,13751
OSWALGREEN-EQ,471
GUJALKALI-EQ,1267
ESABINDIA-EQ,955
ICICISILVE-EQ,7942
TFL-EQ,14319
TI-EQ,19196
PRAENG-EQ,13941
PRAJIND-EQ,2705
SURYALAXMI-EQ,11852
APARINDS-EQ,11491
PAGEIND-EQ,14413
POONAWALLA-EQ,11403
WELCORP-EQ,11821
PRECAM-EQ,12603
NCLIND-EQ,14490
ATALREAL-EQ,15649
MSUMI-EQ,8596
IRB-EQ,15313
COSMOFIRST-EQ,742
COFORGE-EQ,11543
121NSETEST-EQ,14777
BANARISUG-EQ,350
ANTGRAPHIC-EQ,5194
5PAISA-EQ,445
CUMMINSIND-EQ,1901
VSSL-EQ,27067
DCAL-EQ,21704
KIMS-EQ,4847
FINOPB-EQ,6579
ALKYLAMINE-EQ,4487
MRF-EQ,2277
TEXINFRA-EQ,11549
A2ZINFRA-EQ,20906
ALPHAGEO-EQ,14597
TRITURBINE-EQ,25584
021NSETEST-EQ,14751
DREDGECORP-EQ,11271
CENTUM-EQ,14982
AARTISURF-EQ,19233
SHARIABEES-EQ,17044
SAREGAMA-EQ,4892
RAMASTEEL-EQ,10300
CANFINHOME-EQ,583
ICICISENSX-EQ,4378
STLTECH-EQ,9309
BEML-EQ,395
HITECHGEAR-EQ,4433
SHRENIK-EQ,11149
KAKATCEM-EQ,1811
TATASTLLP-EQ,1639
SRHHYPOLTD-EQ,14582
IRFC-EQ,2029
ASIANTILES-EQ,14889
BATAINDIA-EQ,371
MANAKALUCO-EQ,7420
SUMMITSEC-EQ,21275
GLOBALVECT-EQ,13735
IRCON-EQ,4986
INTLCONV-EQ,5606
LAOPALA-EQ,14423
SCHAEFFLER-EQ,1011
HBSL-EQ,4116
CREATIVEYE-EQ,9384
SHILPAMED-EQ,17752
JHS-EQ,13720
BANCOINDIA-EQ,13880
KAPSTON-EQ,18967
KEC-EQ,13260
KRITI-EQ,6417
EMIL-EQ,11530
JINDALPHOT-EQ,11743
KBCGLOBAL-EQ,2354
INGERRAND-EQ,1597
MOTHERSON-EQ,4204
RAMRAT-EQ,10485
SHRADHA-EQ,708
ESSARSHPNG-EQ,25634
ORISSAMINE-EQ,19931
OBCL-EQ,8797
LASA-EQ,21713
DCMNVL-EQ,11039
SEPOWER-EQ,27303
RACE-EQ,15391
SECURCRED-EQ,11520
AJANTPHARM-EQ,8124
UTIAMC-EQ,527
AYMSYNTEX-EQ,10285
RVNL-EQ,9552
ELECTCAST-EQ,928
DMCC-EQ,6973
VALIANTORG-EQ,330
UNIDT-EQ,201
GPTINFRA-EQ,17685
MEDANTA-EQ,11956
INDUSTOWER-EQ,29135
LIQUIDETF-EQ,1927
CPSEETF-EQ,2328
SMARTLINK-EQ,9889
LICHSGFIN-EQ,1997
USHAMART-EQ,8840
TIPSINDLTD-EQ,9117
UCOBANK-EQ,11223
SHANTI-EQ,5650
BALMLAWRIE-EQ,338
KOTAKPSUBK-EQ,15061
INFOMEDIA-EQ,13693
KAYA-EQ,10276
BHARATRAS-EQ,3834
PRITIKAUTO-EQ,5292
KALYANKJIL-EQ,2955
LICNETFSEN-EQ,11441
MARINE-EQ,1328
CDSL-EQ,21174
KOTHARIPRO-EQ,5528
ONELIFECAP-EQ,25492
CAPLIPOINT-EQ,3906
SGL-EQ,13367
DABUR-EQ,772
SIMBHALS-EQ,14612
LIBAS-EQ,11082
KRBL-EQ,10577
RAJTV-EQ,14403
DIAMONDYD-EQ,21840
IFBAGRO-EQ,1482
XELPMOC-EQ,8477
MOLDTECH-EQ,17625
63MOONS-EQ,11868
360ONE-EQ,13061
KOKUYOCMLN-EQ,16827
CANBK-EQ,10794
TIJARIA-EQ,25482
DHANBANK-EQ,11359
KEI-EQ,13310
KANPRPLA-EQ,1782
UNIONBANK-EQ,10753
IONEXCHANG-EQ,1630
BURNPUR-EQ,15194
MEDICAMEQ-EQ,6278
MID150BEES-EQ,8506
GAIL-EQ,4717
SUNTV-EQ,13404
NITINSPIN-EQ,13175
MAHKTECH-EQ,7074
VSTTILLERS-EQ,24292
DSPNEWETF-EQ,6606
RSWM-EQ,2794
RUPA-EQ,25724
BSLNIFTY-EQ,24781
LODHA-EQ,3220
GRSE-EQ,5475
VIMTALABS-EQ,13101
GODREJAGRO-EQ,144
MAHASTEEL-EQ,17527
ROUTE-EQ,128
MSPL-EQ,11919
DHUNINV-EQ,22233
HDFCNEXT50-EQ,10619
BAJAJHIND-EQ,308
CAMS-EQ,342
VIVIDHA-EQ,29877
KOTAKCONS-EQ,10512
RAILTEL-EQ,2431
JISLJALEQS-EQ,10397
ASHAPURMIN-EQ,203
HAVELLS-EQ,9819
APOLLOHOSP-EQ,157
EMAMIREAL-EQ,19277
BANG-EQ,15303
GENCON-EQ,2188
WIPRO-EQ,3787
E2E-EQ,8937
ARVINDFASN-EQ,9111
MIRCELECTR-EQ,2202
BCG-EQ,8833
MMTC-EQ,17957
ANDREWYU-EQ,5206
BBETF0432-EQ,7196
DIVOPPBEES-EQ,2636
PRAKASH-EQ,2708
ANURAS-EQ,2829
PRIMESECU-EQ,11864
PARAGMILK-EQ,17130
ASAHIINDIA-EQ,5378
NITCO-EQ,13300
SNOWMAN-EQ,4843
VINYLINDIA-EQ,16821
REPCOHOME-EQ,29598
PARSVNATH-EQ,13791
LTGILTBEES-EQ,17700
RPSGVENT-EQ,8119
ASALCBR-EQ,17598
SAKHTISUG-EQ,2969
KSCL-EQ,14972
IVZINGOLD-EQ,18292
GOODLUCK-EQ,6125
AXISBPSETF-EQ,3530
OLECTRA-EQ,10637
ATUL-EQ,263
011NSETEST-EQ,14747
GLAND-EQ,1186
APTECHT-EQ,10755
SHREERAMA-EQ,7627
ABSLLIQUID-EQ,14518
KRITINUT-EQ,11432
SANGINITA-EQ,11032
ASPINWALL-EQ,17270
JKPAPER-EQ,11860
RELCHEMQ-EQ,9652
VENUSREM-EQ,13859
VASWANI-EQ,25340
INDHOTEL-EQ,1512
AMARAJABAT-EQ,100
FMGOETZE-EQ,1190
TATAELXSI-EQ,3411
CENTURYTEX-EQ,625
SUTLEJTEX-EQ,13801
CREST-EQ,13900
GSLSU-EQ,14599
JINDRILL-EQ,13875
KMSUGAR-EQ,14667
EMAMILTD-EQ,13517
UNIINFO-EQ,7791
VAKRANGEE-EQ,13342
CROWN-EQ,8083
HDFCSENETF-EQ,11593
V2RETAIL-EQ,14766
SIGMA-EQ,16658
IDFCFIRSTB-EQ,11184
FOCUS-EQ,6836
BFINVEST-EQ,21113
GKWLIMITED-EQ,17357
SHIVATEX-EQ,804
NV20BEES-EQ,9847
MEDPLUS-EQ,7254
DCW-EQ,817
GILLANDERS-EQ,17839
APLLTD-EQ,25328
TEXMOPIPES-EQ,18214
ICICIM150-EQ,17152
SANSERA-EQ,5751
BAJAJELEC-EQ,15034
KOTAKALPHA-EQ,7412
BIGBLOC-EQ,18431
FCL-EQ,6198
ROTO-EQ,9049
TREEHOUSE-EQ,25082
MANAKSTEEL-EQ,7463
BALPHARMA-EQ,13441
AVANTIFEED-EQ,7936
STOVEKRAFT-EQ,2107
SYNGENE-EQ,10243
ORICONENT-EQ,10159
POWERMECH-EQ,10473
ONWARDTEC-EQ,2481
HLEGLAS-EQ,2289
3MINDIA-EQ,474
IMAGICAA-EQ,7672
M&M-EQ,2031
BFUTILITIE-EQ,14567
AIRAN-EQ,9897
GINNIFILA-EQ,1142
BLAL-EQ,15067
BANSWRAS-EQ,14511
MANXT50-EQ,17181
QUESS-EQ,17704
ERIS-EQ,21154
FLUOROCHEM-EQ,13750
SCHAND-EQ,20698
HERITGFOOD-EQ,4598
AARON-EQ,1030
SOUTHWEST-EQ,9678
POWERGRID-EQ,14977
GREENPLY-EQ,3987
TATAMETALI-EQ,3423
AMBUJACEM-EQ,1270
031NSETEST-EQ,14753
JINDALSTEL-EQ,6733
BSE-EQ,19585
ABSLAMC-EQ,6018
MBAPL-EQ,12686
SBCL-EQ,4656
TAJGVK-EQ,9354
RPPINFRA-EQ,20760
PDMJEPAPER-EQ,15377
NAVKARCORP-EQ,10557
DELTAMAGNT-EQ,1214
ZENITHEXPO-EQ,4176
GTLINFRA-EQ,13745
AAREYDRUGS-EQ,5245
ACL-EQ,15420
ICICINV20-EQ,17475
SUPERHOUSE-EQ,20616
SATIN-EQ,10453
RAMCOSYS-EQ,7851
HINDCOMPOS-EQ,1372
WEBELSOLAR-EQ,14602
ENIL-EQ,13192
SEPC-EQ,15308
RESPONIND-EQ,20323
SALSTEEL-EQ,11634
UFLEX-EQ,1053
FORTIS-EQ,14592
VIKASLIFE-EQ,9931
ABB-EQ,13
VBL-EQ,18921
KPITTECH-EQ,9683
STARCEMENT-EQ,21091
MOMOMENTUM-EQ,8182
KIRLOSENG-EQ,20936
ICICIPRULI-EQ,18652
KOTAKBKETF-EQ,5851
ETHOSLTD-EQ,9750
PDSL-EQ,5264
AKSHOPTFBR-EQ,8591
TEJASNET-EQ,21131
SHREDIGCEM-EQ,3099
ASTERDM-EQ,1508
INDOCO-EQ,11677
BEPL-EQ,419
LINC-EQ,6951
DCBBANK-EQ,13725
LUMAXIND-EQ,2018
FINPIPE-EQ,1041
GATEWAY-EQ,8510
INDIAMART-EQ,10726
ELGIRUBCO-EQ,24924
PIIND-EQ,24184
GULPOLY-EQ,6286
NTPC-EQ,11630
DHANI-EQ,15384
ACCURACY-EQ,1465
AUROPHARMA-EQ,275
SUZLON-EQ,12018
BAJAJCON-EQ,19531
BLISSGVS-EQ,19265
OILCOUNTUB-EQ,2472
IVZINNIFTY-EQ,24217
SHANKARA-EQ,20321
BBL-EQ,13761
PRITI-EQ,8304
ADVENZYMES-EQ,18039
DODLA-EQ,4822
ELECON-EQ,13643
VINATIORGA-EQ,17364
LAXMIMACH-EQ,1979
HPIL-EQ,11796
TALBROAUTO-EQ,13648
GEOJITFSL-EQ,11896
PANAMAPET-EQ,25392
ITDC-EQ,19299
AMBICAAGAR-EQ,11496
KHAITANLTD-EQ,3912
SMSPHARMA-EQ,14329
MAWANASUG-EQ,17022
KSB-EQ,1949
BLUECOAST-EQ,7480
GNA-EQ,18571
PRECOT-EQ,2711
BERGEPAINT-EQ,404
TIMESGTY-EQ,10717
STARPAPER-EQ,3291
GOLDSHARE-EQ,14535
RAJESHEXPO-EQ,7401
ICICIMCAP-EQ,17702
JASH-EQ,13982
WABAG-EQ,20188
GHCL-EQ,1127
GLOBUSSPR-EQ,17424
RITES-EQ,3761
NILKAMAL-EQ,2421
HINDPETRO-EQ,1406
CUB-EQ,5701
111NSETEST-EQ,14774
BDL-EQ,2144
DATAPATTNS-EQ,7358
WHEELS-EQ,3766
MAHLOG-EQ,385
SUPRAJIT-EQ,11689
DAMODARIND-EQ,17541
IBREALEST-EQ,14450
JKIL-EQ,15266
RTNPOWER-EQ,17520
MUNJALSHOW-EQ,2307
CENTENKA-EQ,619
TRF-EQ,17987
TCIEXP-EQ,19223
DIL-EQ,8657
AARVI-EQ,19073
MARUTI-EQ,10999
KINGFA-EQ,18944
LATENTVIEW-EQ,6818
SIEMENS-EQ,3150
APOLSINHOT-EQ,6302
SASKEN-EQ,11983
NAGREEKEXP-EQ,14702
SOUTHBANK-EQ,5948
CERA-EQ,15039
MON100-EQ,22739
NOVARTIND-EQ,9007
RADHIKAJWE-EQ,10343
SUNDARAM-EQ,18931
JPASSOCIAT-EQ,11460
101NSETEST-EQ,14772
LYPSAGEMS-EQ,31468
SARLAPOLY-EQ,14043
SFL-EQ,19184
INFY-EQ,1594
POKARNA-EQ,17651
COLPAL-EQ,15141
TIINDIA-EQ,312
ALKALI-EQ,16959
KOTHARIPET-EQ,4594
NIPPOBATRY-EQ,6782
PNC-EQ,9342
UNIVASTU-EQ,18977
TRIL-EQ,15174
IFGLEXPOR-EQ,436
NRL-EQ,13675
GAL-EQ,20296
SHYAMCENT-EQ,10188
NRBBEARING-EQ,7553
CHALET-EQ,8546
MOVALUE-EQ,10825
JAYAGROGN-EQ,4041
HDFCBSE500-EQ,14230
BIKAJI-EQ,11966
061NSETEST-EQ,14762
ASHIANA-EQ,24403
SPLIL-EQ,11935
AVADHSUGAR-EQ,21406
BHARATFORG-EQ,422
DHAMPURSUG-EQ,857
VETO-EQ,8652
RIIL-EQ,2912
081NSETEST-EQ,14767
IGPL-EQ,14086
CHEMCON-EQ,270
DIVGIITTS-EQ,14479
SUPRIYA-EQ,7390
DEEPINDS-EQ,3292
FUSION-EQ,11932
PFIZER-EQ,2643
IMFA-EQ,19235
AMBIKCO-EQ,15234
URJA-EQ,20203
JMFINANCIL-EQ,13637
VINEETLAB-EQ,3807
MAXVIL-EQ,17468
NFL-EQ,13925
JKLAKSHMI-EQ,13491
MANORG-EQ,6422
SPENCERS-EQ,8163
AUTOAXLES-EQ,278
