symbol,token
UFO-EQ,9039
SDBL-EQ,1338
CESC-EQ,628
SUVIDHAA-EQ,2998
GMRINFRA-EQ,13528
AXISBANK-EQ,5900
AVONMORE-EQ,13557
ICICIBANK-EQ,4963
KAJARIACER-EQ,1808
PRESTIGE-EQ,20302
RBLBANK-EQ,18391
ENGINERSIN-EQ,4907
ASAL-EQ,10634
GREAVESCOT-EQ,1235
CAREERP-EQ,20086
CCHHL-EQ,6385
VIPIND-EQ,3703
LGBFORGE-EQ,16845
GUFICBIO-EQ,11606
INDIGOPNTS-EQ,2048
INFRABEES-EQ,20072
CAMPUS-EQ,9362
MOHITIND-EQ,29423
GVKPIL-EQ,13226
EPL-EQ,981
ANIKINDS-EQ,16657
IDBI-EQ,1476
PGHL-EQ,940
NAGREEKCAP-EQ,14942
JAGSNPHARM-EQ,4410
ICICICONSU-EQ,6446
COUNCODOS-EQ,16986
BOROLTD-EQ,19401
WILLAMAGOR-EQ,3772
AXISNIFTY-EQ,21252
BANKBARODA-EQ,4668
BESTAGRO-EQ,2306
KOTAKLIQ-EQ,13950
TEXRAIL-EQ,21828
IRISDOREME-EQ,2275
EVERESTIND-EQ,993
UPL-EQ,11287
UTISENSETF-EQ,10515
ESCORTS-EQ,958
HAPPSTMNDS-EQ,48
ALBERTDAVD-EQ,17256
BAJAJ-AUTO-EQ,16669
LICNFNHGP-EQ,15229
VIPULLTD-EQ,8424
DTIL-EQ,6227
VEDL-EQ,3063
GANESHBE-EQ,5614
HARIOMPIPE-EQ,8968
BCLIND-EQ,2513
TATACONSUM-EQ,3432
SHAILY-EQ,8727
BHAGCHEM-EQ,6164
ARCHIES-EQ,5688
GENUSPOWER-EQ,11905
DLF-EQ,14732
BUTTERFLY-EQ,2716
CONSOFINVT-EQ,11731
GRANULES-EQ,11872
ICICI10GS-EQ,13143
CIGNITITEC-EQ,5142
SGIL-EQ,5114
ENDURANCE-EQ,18822
ARIES-EQ,15204
MITCON-EQ,8469
AVG-EQ,15589
AMBER-EQ,1185
PNBHOUSING-EQ,18908
IFCI-EQ,1491
ICICIGI-EQ,21770
JUBLINDS-EQ,21541
SANDESH-EQ,2988
ICICINXT50-EQ,4529
PCJEWELLER-EQ,29124
GRWRHITECH-EQ,7982
SUNFLAG-EQ,3348
RALLIS-EQ,2816
JUNIORBEES-EQ,10939
PSUBANKICI-EQ,14584
GREENPANEL-EQ,13810
INDOAMIN-EQ,9116
CAPACITE-EQ,21749
AETHER-EQ,9810
KUANTUM-EQ,13870
ACCELYA-EQ,7053
DVL-EQ,15214
ARTNIRMAN-EQ,6156
MALLCOM-EQ,7965
MOQUALITY-EQ,10822
MAGOLDETF-EQ,14286
BHAGYANGR-EQ,20776
VENUSPIPES-EQ,9592
FIEMIND-EQ,13710
NYKAA-EQ,6545
INDNIPPON-EQ,4747
IBULHSGFIN-EQ,30125
NBCC-EQ,31415
ABCAPITAL-EQ,21614
PIDILITIND-EQ,2664
AXISTECETF-EQ,3010
SWELECTES-EQ,11909
APEX-EQ,21623
GALLANTT-EQ,13337
VMART-EQ,29284
STEELCAS-EQ,6803
BALAMINES-EQ,14501
SOMANYCERA-EQ,3880
SPECIALITY-EQ,27107
BLBLIMITED-EQ,8132
LANDMARK-EQ,13276
SETFGOLD-EQ,17272
JPPOWER-EQ,11763
KITEX-EQ,28899
VIJIFIN-EQ,17691
MANV30F-EQ,14786
OAL-EQ,10768
SIS-EQ,21501
KIRIINDUS-EQ,16639
MORARJEE-EQ,28877
MAHLIFE-EQ,8050
TBZ-EQ,27037
COMPUSOFT-EQ,31138
HATSUN-EQ,3892
VAISHALI-EQ,16589
TIMKEN-EQ,14198
HCLTECH-EQ,7229
HONDAPOWER-EQ,3138
CINEVISTA-EQ,8024
EXIDEIND-EQ,676
IBMFNIFTY-EQ,9937
SUMICHEM-EQ,17105
NIBL-EQ,29733
KAMDHENU-EQ,13457
IVC-EQ,6711
NAHARPOLY-EQ,14445
SAGCEM-EQ,14068
PSUBNKBEES-EQ,15032
EIFFL-EQ,6040
BLUEDART-EQ,495
DYNPRO-EQ,21314
LUPIN-EQ,10440
GROBTEA-EQ,17770
PERSISTENT-EQ,18365
ACE-EQ,13587
ANANTRAJ-EQ,13620
MASFIN-EQ,199
UMAEXPORTS-EQ,8842
ASHOKLEY-EQ,212
TMB-EQ,10945
MPHASIS-EQ,4503
UDAICEMENT-EQ,7276
SJVN-EQ,18883
DOLLAR-EQ,20560
CUPID-EQ,18520
HERCULES-EQ,15288
GIPCL-EQ,1145
TV18BRDCST-EQ,14208
TATAINVEST-EQ,1621
BROOKS-EQ,25136
ZENTEC-EQ,7508
FACT-EQ,1008
INDIACEM-EQ,1515
NSIL-EQ,11239
SETFNN50-EQ,7353
KENNAMET-EQ,11841
MOM50-EQ,19289
SPIC-EQ,3252
BASF-EQ,368
QNIFTY-EQ,16819
BALAXI-EQ,11309
EXCELINDUS-EQ,11471
PRICOLLTD-EQ,19631
TATACOMM-EQ,3721
RANASUG-EQ,2837
SPARC-EQ,14788
PGIL-EQ,14260
OMAXE-EQ,14853
RAMAPHO-EQ,10568
SHREYANIND-EQ,3126
HUDCO-EQ,20825
NECLIFE-EQ,11927
PILITA-EQ,30835
DOLATALGO-EQ,12124
ICICIBANKP-EQ,11386
IMPAL-EQ,12009
PPLPHARMA-EQ,11571
GODREJIND-EQ,10925
AARTIDRUGS-EQ,4481
TIMETECHNO-EQ,14707
CMSINFO-EQ,7603
MANAKCOAT-EQ,7413
UTIBANKETF-EQ,22440
MANINFRA-EQ,18226
ANDHRSUGAR-EQ,136
SUKHJITS-EQ,11804
REMSONSIND-EQ,3965
UTINEXT50-EQ,21478
ULTRACEMCO-EQ,11532
ISEC-EQ,2489
AVALON-EQ,15058
M&MFIN-EQ,13285
ANUP-EQ,9014
MAGS813ETF-EQ,14938
HISARMETAL-EQ,19322
RKEC-EQ,1547
ONMOBILE-EQ,15278
DALBHARAT-EQ,8075
NELCAST-EQ,14761
APTUS-EQ,5435
NILAINFRA-EQ,9253
CONSUMBEES-EQ,2435
PETRONET-EQ,11351
INDIAGLYCO-EQ,1521
SETF10GILT-EQ,17395
ZEEL-EQ,3812
GENESYS-EQ,10905
MANALIPETC-EQ,13796
MARALOVER-EQ,2112
SIYSIL-EQ,14096
GMDCLTD-EQ,5204
COALINDIA-EQ,20374
INDOTHAI-EQ,25608
RAIN-EQ,15337
SARDAEN-EQ,17758
TITAN-EQ,3506
FORCEMOT-EQ,11573
CREATIVE-EQ,11155
PEL-EQ,2412
AHL-EQ,13288
SHAHALLOYS-EQ,11856
PFOCUS-EQ,13496
JISLDVREQS-EQ,25684
TECH-EQ,6462
BPCL-EQ,526
AURUM-EQ,10310
NATIONALUM-EQ,6364
HSCL-EQ,14334
VASCONEQ-EQ,18110
APLAPOLLO-EQ,25780
NBIFIN-EQ,19111
LIKHITHA-EQ,578
ADANITRANS-EQ,10217
CRAFTSMAN-EQ,2854
ABBOTINDIA-EQ,17903
SURYAROSNI-EQ,3375
OPTIEMUS-EQ,21469
KIRLPNU-EQ,15180
UGROCAP-EQ,5313
VOLTAMP-EQ,13577
AGSTRA-EQ,7927
SUVEN-EQ,11233
NAZARA-EQ,2987
LEMONTREE-EQ,2606
VENKEYS-EQ,3757
WESTLIFE-EQ,11580
LSIL-EQ,17801
MATRIMONY-EQ,21726
SCHNEIDER-EQ,31234
IPCALAB-EQ,1633
AGARIND-EQ,3389
TARSONS-EQ,6943
CENTRALBK-EQ,14894
PTC-EQ,11355
KOPRAN-EQ,1919
LINDEINDIA-EQ,1627
VIDHIING-EQ,13536
MAZDOCK-EQ,509
SAPPHIRE-EQ,6718
WINDLAS-EQ,5366
PIGL-EQ,15716
TAKE-EQ,14917
MAGADSUGAR-EQ,21392
ATULAUTO-EQ,30023
UTTAMSUGAR-EQ,13376
SILINV-EQ,4105
ZUARI-EQ,29050
ICICIMOM30-EQ,10585
CRISIL-EQ,757
HAL-EQ,2303
UNIVCABLES-EQ,3607
EIHAHOTELS-EQ,15399
CHOICEIN-EQ,8866
ADANIPOWER-EQ,17388
AXISCETF-EQ,5732
INFIBEAM-EQ,16249
IGL-EQ,11262
KTKBANK-EQ,8054
QUICKHEAL-EQ,13116
LT-EQ,11483
FOSECOIND-EQ,1073
THERMAX-EQ,3475
MEGASTAR-EQ,8153
KARMAENG-EQ,24385
JSL-EQ,11236
MCDOWELL-N-EQ,10447
TTML-EQ,8954
SRF-EQ,3273
VISESHINFO-EQ,7303
AXITA-EQ,9902
RAMANEWS-EQ,13565
SKFINDIA-EQ,3186
ICICILIQ-EQ,4838
HBANKETF-EQ,22433
BECTORFOOD-EQ,1628
HERANBA-EQ,2614
ABAN-EQ,10
SWARAJENG-EQ,3384
MINDTECK-EQ,18049
TVSSRICHAK-EQ,14245
DNAMEDIA-EQ,641
DGCONTENT-EQ,10346
STERTOOLS-EQ,4299
DSPGOLDETF-EQ,15356
AMRUTANJAN-EQ,17547
SAH-EQ,13689
HNDFDS-EQ,12173
BHEL-EQ,438
JINDALPOLY-EQ,1756
PEARLPOLY-EQ,2610
GRMOVER-EQ,10871
MTNL-EQ,2294
HINDZINC-EQ,1424
CCL-EQ,11452
AMDIND-EQ,14398
RUSTOMJEE-EQ,12219
JSWHL-EQ,11880
JYOTHYLAB-EQ,15146
SATIA-EQ,11045
KOLTEPATIL-EQ,15124
PGEL-EQ,25358
041NSETEST-EQ,14755
091NSETEST-EQ,14769
BAIDFIN-EQ,13794
051NSETEST-EQ,14758
MAHINDCIE-EQ,14937
TOTAL-EQ,22423
RBL-EQ,16745
CHOLAHLDNG-EQ,21740
MAITHANALL-EQ,24538
ASTRAZEN-EQ,5610
RAMKY-EQ,20134
HPAL-EQ,7376
HDFCSML250-EQ,14233
ARIHANTCAP-EQ,3813
MUTHOOTFIN-EQ,23650
BRITANNIA-EQ,547
GSPL-EQ,13197
VERANDA-EQ,8890
BOHRAIND-EQ,11640
ISGEC-EQ,3329
NAGAFERT-EQ,17295
CASTROLIND-EQ,1250
GANESHHOUC-EQ,14339
KCP-EQ,1841
MAHEPC-EQ,17603
HIL-EQ,1455
HITECHCORP-EQ,15161
UBL-EQ,16713
CONTROLPR-EQ,17477
RADIANTCMS-EQ,13580
REDINGTON-EQ,14255
ORIENTELEC-EQ,2972
MKPL-EQ,16736
DSSL-EQ,25690
RAMCOIND-EQ,4587
TOUCHWOOD-EQ,16908
PREMEXPLN-EQ,17397
BPL-EQ,530
JAGRAN-EQ,13211
NEWGEN-EQ,1164
SHREYAS-EQ,3129
MFSL-EQ,2142
MAM150ETF-EQ,8413
ROLEXRINGS-EQ,5279
GOCLCORP-EQ,3963
BANDHANBNK-EQ,2263
CHENNPETRO-EQ,2049
TECHNOE-EQ,6445
RANEHOLDIN-EQ,2844
TTKHLTCARE-EQ,11369
AXISHCETF-EQ,3608
ITBEES-EQ,19084
WHIRLPOOL-EQ,18011
SPCENET-EQ,19372
MAHESHWARI-EQ,9576
APOLLO-EQ,1134
SANDHAR-EQ,2397
VTL-EQ,2073
IDFNIFTYET-EQ,18783
DBCORP-EQ,17881
KHADIM-EQ,425
ICEMAKE-EQ,489
PILANIINVS-EQ,11445
KSL-EQ,18889
POLYCAB-EQ,9590
DANGEE-EQ,1110
EQUITASBNK-EQ,913
HESTERBIO-EQ,7048
PAR-EQ,5631
AHLUCONT-EQ,17833
NETWORK18-EQ,14111
KANSAINER-EQ,1196
PRIVISCL-EQ,8825
KOTAKMID50-EQ,8077
SAHYADRI-EQ,14900
PURVA-EQ,14922
HBLPOWER-EQ,13966
PARAS-EQ,5911
ATLANTA-EQ,13585
INDBANK-EQ,16933
MASTEK-EQ,2124
DLINKINDIA-EQ,17851
ORTINLAB-EQ,2979
RATEGAIN-EQ,7177
PATINTLOG-EQ,15219
AIAENG-EQ,13086
NUVOCO-EQ,5426
PVRINOX-EQ,13147
BIRLACABLE-EQ,477
TAINWALCHM-EQ,3396
SANOFI-EQ,1442
ICICIFMCG-EQ,5306
DICIND-EQ,703
MURUDCERA-EQ,2313
ADFFOODS-EQ,19761
AXISCADES-EQ,9436
HDFCMFGETF-EQ,19543
DIGISPICE-EQ,16683
SPAL-EQ,18252
AXISBNKETF-EQ,1044
GOKEX-EQ,11778
PPL-EQ,10297
STYLAMIND-EQ,5186
MENONBE-EQ,6961
DCMSHRIRAM-EQ,811
KOTAKSILVE-EQ,13082
ICIL-EQ,11987
KOTAKIT-EQ,2627
LPDC-EQ,16863
XPROINDIA-EQ,11407
INDUSINDBK-EQ,5258
ADANIPORTS-EQ,15083
AMJLAND-EQ,2598
AXISILVER-EQ,11193
DEEPAKNTR-EQ,19943
AWL-EQ,8110
LALPATHLAB-EQ,11654
TVSELECT-EQ,11265
CHOLAFIN-EQ,685
MFL-EQ,5382
CYIENT-EQ,5748
TATAMOTORS-EQ,3456
CARERATING-EQ,29113
HDFCSILVER-EQ,10876
MAXIND-EQ,22428
GANGESSECU-EQ,21399
EXPLEOSOL-EQ,17486
ICICIINFRA-EQ,10723
CHEMBOND-EQ,14618
TIDEWATER-EQ,14019
CINELINE-EQ,27161
ORBTEXP-EQ,31475
LFIC-EQ,7902
PODDARMENT-EQ,19036
GOACARBON-EQ,14687
LTIM-EQ,17818
DHANUKA-EQ,24409
SSWL-EQ,11829
G1NSETEST-EQ,12842
ABFRL-EQ,30108
HOMEFIRST-EQ,2056
SHEMAROO-EQ,5068
NAM-INDIA-EQ,357
WEIZMANIND-EQ,3748
ALANKIT-EQ,9921
MAN50ETF-EQ,6353
TECHM-EQ,13538
FINCABLES-EQ,1038
ALICON-EQ,13656
INDIANHUME-EQ,1530
PROZONINTU-EQ,28859
GMRP&UI-EQ,8529
BANKINDIA-EQ,4745
KREBSBIO-EQ,1937
BHANDARI-EQ,19556
ITI-EQ,1675
SAKSOFT-EQ,11794
GTL-EQ,1162
TATAPOWER-EQ,3426
INOXGREEN-EQ,12188
DEVIT-EQ,8146
HARSHA-EQ,11162
AMIORG-EQ,5578
SAIL-EQ,2963
GODFRYPHLP-EQ,1181
RELIGARE-EQ,15068
VIPCLOTHNG-EQ,14843
EROSMEDIA-EQ,20080
EKC-EQ,13091
GOCOLORS-EQ,6964
FIVESTAR-EQ,12032
TATACOFFEE-EQ,724
SURANAT&P-EQ,10700
TRIVENI-EQ,13081
DYNAMATECH-EQ,4525
VAIBHAVGBL-EQ,11364
SIRCA-EQ,11050
LYKALABS-EQ,2028
NEULANDLAB-EQ,2406
SONACOMS-EQ,4684
ABSLBANETF-EQ,13987
ONGC-EQ,2475
ICICIB22-EQ,522
INOXWIND-EQ,7852
EBANK-EQ,11625
HFCL-EQ,21951
FMNL-EQ,21017
HINDOILEXP-EQ,1403
ASIANPAINT-EQ,236
INDORAMA-EQ,10993
SHYAMMETL-EQ,4693
ADANIGREEN-EQ,3563
MOL-EQ,5394
ARVEE-EQ,2814
IFBIND-EQ,1485
BSOFT-EQ,6994
AWHCL-EQ,1797
ITDCEM-EQ,5622
NAVNETEDUL-EQ,2385
KPRMILL-EQ,14912
AFFLE-EQ,11343
FEDERALBNK-EQ,1023
CORDSCABLE-EQ,15271
BSL-EQ,559
ALLCARGO-EQ,13501
ORIENTBELL-EQ,14278
EBBETF0431-EQ,22239
JAYBARMARU-EQ,1708
KOTARISUG-EQ,11647
ANGELONE-EQ,324
PHOENIXLTD-EQ,14552
PONNIERODE-EQ,10661
AUTOIND-EQ,14106
FILATEX-EQ,24532
MADRASFERT-EQ,4911
HARRMALAYA-EQ,1313
GESHIP-EQ,13776
HDFCBANK-EQ,1333
ANDHRAPAP-EQ,166
INDSWFTLAB-EQ,4870
VHL-EQ,11892
PTCIL-EQ,16682
ZENSARTECH-EQ,1076
HCC-EQ,1375
HLVLTD-EQ,1448
INVENTURE-EQ,24870
JKTYRE-EQ,14435
REVATHI-EQ,11961
GUJGASLTD-EQ,10599
VISHNU-EQ,6908
MOLOWVOL-EQ,8654
INDIANCARD-EQ,4422
FIBERWEB-EQ,8159
RHIM-EQ,31163
GEECEE-EQ,13658
TATVA-EQ,5162
UNIVPHOTO-EQ,17659
BRIGADE-EQ,15184
ZUARIIND-EQ,3827
INTELLECT-EQ,5926
VARDHACRLC-EQ,11220
CAPTRUST-EQ,19447
IOC-EQ,1624
GSFC-EQ,1247
PHARMABEES-EQ,4973
HCG-EQ,15555
MOMENTUM-EQ,10693
TNPL-EQ,3980
ORIENTPPR-EQ,2496
DCM-EQ,805
HIMATSEIDE-EQ,1360
RAINBOW-EQ,9408
LCCINFOTEC-EQ,7529
SIGIND-EQ,4522
CHEMPLASTS-EQ,5449
TRIGYN-EQ,5428
AUTOBEES-EQ,7880
HDFCAMC-EQ,4244
SULA-EQ,13218
ASTRAMICRO-EQ,11618
SHREECEM-EQ,3103
MEDICO-EQ,9667
DECCANCE-EQ,14838
SECURKLOUD-EQ,11058
WEALTH-EQ,1923
PSPPROJECT-EQ,20877
NLCINDIA-EQ,8585
MEGASOFT-EQ,14793
CLEDUCATE-EQ,20223
SANGAMIND-EQ,4184
NESTLEIND-EQ,17963
JUBLPHARMA-EQ,3637
KRSNAA-EQ,5359
BHARATGEAR-EQ,426
EMAMIPAP-EQ,10074
151NSETEST-EQ,14782
TNPETRO-EQ,3509
SMLISUZU-EQ,3387
GICHSGFIN-EQ,1139
CYBERMEDIA-EQ,11842
KPIL-EQ,1814
STEL-EQ,21484
CIPLA-EQ,694
LOYALTEX-EQ,10590
BANKBEES-EQ,11439
MUNJALAU-EQ,13511
TANLA-EQ,13976
INTENTECH-EQ,20071
TARC-EQ,1581
SATINDLTD-EQ,12015
ZFCVINDIA-EQ,16915
TIPSFILMS-EQ,11374
MANGALAM-EQ,11817
RHFL-EQ,21733
NATHBIOGEN-EQ,11065
NAVINFLUOR-EQ,14672
GOKUL-EQ,16705
MODISONLTD-EQ,3316
TINPLATE-EQ,3493
TCNSBRANDS-EQ,4172
ESTER-EQ,24265
PITTIENG-EQ,14134
HGS-EQ,14712
ICICIALPLV-EQ,22344
MAYURUNIQ-EQ,28906
SHANTIGEAR-EQ,3078
MAHABANK-EQ,11377
MONARCH-EQ,7679
UGARSUGAR-EQ,19578
SMSLIFE-EQ,21551
DREAMFOLKS-EQ,10859
TECHIN-EQ,25190
RTNINDIA-EQ,27297
DBREALTY-EQ,18124
BHARTIARTL-EQ,10604
POLYMED-EQ,25718
NCC-EQ,2319
IGARASHI-EQ,634
VIJAYA-EQ,5585
RKFORGE-EQ,11411
KNRCON-EQ,15283
ZOMATO-EQ,5097
VRLLOG-EQ,8696
ALLSEC-EQ,11798
KPIGREEN-EQ,5108
JSWISPL-EQ,4671
NAVA-EQ,4014
IEX-EQ,220
ASAHISONG-EQ,25088
SELAN-EQ,13598
SBGLP-EQ,14139
CANTABIL-EQ,20160
AKASH-EQ,13510
ROLLT-EQ,19104
AVROIND-EQ,8827
TRIDENT-EQ,9685
ZEEMEDIA-EQ,14003
HNGSNGBEES-EQ,18284
BYKE-EQ,7919
MADHUCON-EQ,13671
SHARDAMOTR-EQ,10530
PENIND-EQ,20621
ALPA-EQ,14848
RAJRATAN-EQ,18962
ROSSELLIND-EQ,28913
STARTECK-EQ,9305
CSBBANK-EQ,14966
MASPTOP50-EQ,5782
NIFTYQLITY-EQ,10690
LAXMICOT-EQ,6568
SWANENERGY-EQ,27095
DATAMATICS-EQ,11423
JAMNAAUTO-EQ,20778
BBTCL-EQ,12153
SUBROS-EQ,3324
SOBHA-EQ,13826
ICICIAUTO-EQ,7844
EICHERMOT-EQ,910
AVTNPL-EQ,14008
POCL-EQ,14385
CARYSIL-EQ,1879
VOLTAS-EQ,3718
LOVABLE-EQ,22415
STYRENIX-EQ,19
ADORWELD-EQ,34
HINDCON-EQ,4920
BASML-EQ,12034
METROPOLIS-EQ,9581
RADAAN-EQ,10932
IRIS-EQ,6489
MAXHEALTH-EQ,22377
SBICARD-EQ,17971
AGRITECH-EQ,11072
CLSEL-EQ,3482
071NSETEST-EQ,14764
RICOAUTO-EQ,2909
RGL-EQ,15129
MOTILALOFS-EQ,14947
SASTASUNDR-EQ,20063
IITL-EQ,19525
AAATECH-EQ,12533
PFC-EQ,14299
GODREJPROP-EQ,17875
PIONEEREMB-EQ,13463
VIRINCHI-EQ,15295
DIXON-EQ,21690
DELPHIFX-EQ,24391
FAIRCHEMOR-EQ,1614
ZYDUSLIFE-EQ,7929
NECCLTD-EQ,13522
ACC-EQ,22
ZOTA-EQ,11394
INCREDIBLE-EQ,17507
BHARATWIRE-EQ,16123
XCHANGING-EQ,11705
SBIETFPB-EQ,722
RENUKA-EQ,12026
SILGO-EQ,2492
SETFNIFBK-EQ,7361
ORIENTHOT-EQ,2493
SALASAR-EQ,21362
DIVISLAB-EQ,10940
WATERBASE-EQ,3745
DISHTV-EQ,14537
KSOLVES-EQ,11060
PRINCEPIPE-EQ,16045
RELIANCE-EQ,2885
ORIENTALTL-EQ,14346
CONFIPET-EQ,10238
GRAUWEIL-EQ,5200
COASTCORP-EQ,6006
TEGA-EQ,7105
MUKTAARTS-EQ,8687
TVSMOTOR-EQ,8479
INDTERRAIN-EQ,21957
SAKUMA-EQ,13251
ICICI5GSEC-EQ,8342
VARROC-EQ,3857
VESUVIUS-EQ,3676
UNITEDTEA-EQ,17999
SYRMA-EQ,10793
TASTYBITE-EQ,20092
GLFL-EQ,1156
SAMBHAAV-EQ,4127
LIBERTSHOE-EQ,1994
MUTHOOTCAP-EQ,10415
ICICIGOLD-EQ,19679
EMUDHRA-EQ,9756
SILLYMONKS-EQ,19097
MGL-EQ,17534
BAJAJHCARE-EQ,6863
HINDUNILVR-EQ,1394
SDL26BEES-EQ,3022
STEELXIND-EQ,21339
SUPERSPIN-EQ,3357
ICICIPHARM-EQ,3626
SHARDACROP-EQ,4992
DBL-EQ,18086
UNICHEMLAB-EQ,3579
RPGLIFE-EQ,16725
NGLFINE-EQ,10277
VGUARD-EQ,15362
HINDWAREAP-EQ,15883
REPRO-EQ,13126
MCX-EQ,31181
JAIPURKURT-EQ,5516
SHRIRAMPPS-EQ,7200
PIXTRANS-EQ,9087
RITCO-EQ,8944
EXCEL-EQ,17376
ROSSARI-EQ,19410
CENTEXT-EQ,11511
LIQUIDBEES-EQ,11006
PUNJABCHEM-EQ,4344
RCF-EQ,2866
EMMBI-EQ,18142
TTKPRESTIG-EQ,3546
SJS-EQ,6643
PRECWIRE-EQ,2717
EIDPARRY-EQ,916
CARTRADE-EQ,5407
KKCL-EQ,13381
NOIDATOLL-EQ,10786
JETFREIGHT-EQ,7211
LTTS-EQ,18564
KOTAKGOLD-EQ,14858
MONTECARLO-EQ,5938
MOIL-EQ,20830
ASTEC-EQ,17728
GANDHITUBE-EQ,14116
NOCIL-EQ,2442
KIOCL-EQ,19126
GPIL-EQ,13409
L&TFH-EQ,24948
SBIETFCON-EQ,5168
MPSLTD-EQ,10578
CYBERTECH-EQ,6051
CTE-EQ,14218
NITIRAJ-EQ,3247
V1NSETEST-EQ,12863
HUHTAMAKI-EQ,2562
J&KBANK-EQ,5633
GANECOS-EQ,6944
IIFL-EQ,11809
STARHEALTH-EQ,7083
GOODYEAR-EQ,1205
PRUDENT-EQ,9553
CHEMFAB-EQ,2799
ADVANIHOTR-EQ,14745
JAYSREETEA-EQ,1720
GLENMARK-EQ,7406
POWERINDIA-EQ,18457
MANAPPURAM-EQ,19061
ARVSMART-EQ,10457
ASHOKA-EQ,20182
EIHOTEL-EQ,919
MAMFGETF-EQ,7979
HEMIPROP-EQ,701
BLKASHYAP-EQ,13290
POLYPLEX-EQ,2687
BGRENERGY-EQ,15189
SINTERCOM-EQ,381
CAMLINFINE-EQ,6216
THOMASCOOK-EQ,3481
DEEPENR-EQ,18244
UTINIFTETF-EQ,10511
SUNTECK-EQ,17641
HEIDELBERG-EQ,2316
VISHAL-EQ,11773
SANGHVIMOV-EQ,14058
STEELCITY-EQ,10406
OSWALAGRO-EQ,2514
GODREJCP-EQ,10099
ELGIEQUIP-EQ,937
SILVERETF-EQ,15085
WELENT-EQ,11626
SHAKTIPUMP-EQ,25574
KELLTONTEC-EQ,13430
WONDERLA-EQ,3002
131NSETEST-EQ,14778
JMA-EQ,7109
BIOFILCHEM-EQ,4136
WENDT-EQ,4235
GULFPETRO-EQ,11581
SAGARDEEP-EQ,8175
TVVISION-EQ,18504
RELINFRA-EQ,553
KOTAKBANK-EQ,1922
MANUGRAPH-EQ,13572
SHREEPUSHK-EQ,10588
ICICITECH-EQ,22365
SOTL-EQ,3021
MANGCHEFER-EQ,15007
KESORAMIND-EQ,1859
JCHAC-EQ,4491
MANGLMCEM-EQ,2106
BALAJITELE-EQ,9158
LOTUSEYE-EQ,16807
SALONA-EQ,17351
MTARTECH-EQ,2709
INSECTICID-EQ,14657
UNOMINDA-EQ,14154
BEDMUTHA-EQ,20196
SHRIPISTON-EQ,17186
LICNETFN50-EQ,11319
ADSL-EQ,14813
ISFT-EQ,18479
RUCHIRA-EQ,13821
SUNPHARMA-EQ,3351
GILT5YBEES-EQ,3172
WSTCSTPAPR-EQ,3799
PNCINFRA-EQ,9385
PALASHSECU-EQ,21383
HDFCQUAL-EQ,11255
MANKIND-EQ,15380
NARMADA-EQ,11627
SPANDANA-EQ,11435
FAZE3Q-EQ,12000
VSTIND-EQ,3724
SPLPETRO-EQ,9617
DEN-EQ,17722
HDFCNIFIT-EQ,12101
MEP-EQ,8771
DSPBANKETF-EQ,13644
MUKANDLTD-EQ,11325
NIACL-EQ,399
NEXTMEDIA-EQ,9867
VINDHYATEL-EQ,3694
NMDC-EQ,15332
HGINFRA-EQ,1672
TDPOWERSYS-EQ,25178
PANACEABIO-EQ,4055
SBIN-EQ,3045
PANSARI-EQ,6141
TORNTPHARM-EQ,3518
JAYNECOIND-EQ,2331
20MICRONS-EQ,16921
KAVVERITEL-EQ,15244
ITC-EQ,1660
KIRLFER-EQ,14466
PANACHE-EQ,16292
BSLSENETFG-EQ,5957
DENORA-EQ,4279
MANAKSIA-EQ,15199
ZIMLAB-EQ,12384
GNFC-EQ,1174
THANGAMAYL-EQ,18118
POLICYBZR-EQ,6656
SIGACHI-EQ,6663
UNIPARTS-EQ,13057
MANYAVAR-EQ,8167
WORTH-EQ,22277
PNB-EQ,10666
MIDHANI-EQ,2463
